serial number,account_info,duration_month,credit_history,purpose,savings_account,employment_st,poi,personal_status,gurantors,resident_since,property_type,age,installment_type,housing_type,credits_no,job_type,liables,telephone,foreigner,cluster_number
50,A11,12,A32,A43,A61,A75,4,A93,A101,4,A121,57,A142,A152,1,A172,1,A191,A201,3
51,A11,20,A34,A40,A61,A73,4,A94,A103,2,A122,33,A141,A151,2,A173,1,A191,A202,1
52,A14,24,A34,A41,A65,A74,3,A93,A101,4,A122,43,A143,A152,2,A173,1,A192,A201,2
53,A14,15,A34,A43,A61,A73,4,A93,A101,4,A124,35,A143,A153,2,A173,1,A192,A201,2
54,A11,18,A31,A40,A61,A74,4,A93,A101,4,A124,32,A143,A153,2,A172,2,A191,A201,1
55,A14,36,A33,A40,A61,A75,2,A93,A101,2,A123,45,A143,A152,2,A173,2,A192,A201,2
56,A14,24,A32,A40,A62,A72,4,A94,A101,3,A121,33,A143,A152,1,A173,1,A192,A201,2
57,A14,10,A32,A48,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,2
58,A14,15,A34,A42,A61,A73,4,A93,A101,2,A124,28,A143,A153,1,A173,1,A192,A201,2
59,A11,15,A32,A40,A61,A73,3,A92,A101,2,A122,29,A143,A152,1,A173,1,A192,A201,2
60,A14,9,A32,A40,A62,A73,1,A93,A103,2,A121,26,A143,A151,1,A173,2,A191,A202,2
61,A14,24,A34,A41,A64,A73,4,A93,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,2
62,A14,18,A33,A49,A61,A73,4,A94,A101,2,A123,28,A143,A152,1,A173,1,A192,A201,2
63,A11,24,A32,A43,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A173,1,A192,A201,2
64,A14,27,A34,A42,A64,A72,4,A93,A101,2,A121,32,A142,A152,2,A172,2,A192,A201,2
65,A14,10,A32,A42,A61,A73,2,A93,A101,2,A121,25,A141,A151,1,A172,1,A191,A201,1
66,A14,15,A32,A42,A63,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1
67,A11,18,A32,A43,A61,A72,4,A92,A101,1,A123,27,A142,A152,1,A173,1,A191,A201,3
68,A14,12,A34,A42,A61,A75,2,A93,A101,4,A122,42,A142,A152,1,A173,1,A191,A201,3
69,A14,36,A32,A49,A65,A75,3,A93,A101,2,A122,37,A143,A152,2,A173,1,A191,A201,1
70,A11,12,A32,A42,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,1
71,A14,36,A33,A42,A63,A74,2,A92,A101,4,A123,40,A143,A152,2,A173,1,A192,A201,2
72,A13,6,A34,A40,A61,A75,1,A93,A101,4,A121,46,A143,A152,2,A173,2,A191,A202,3
73,A11,24,A34,A49,A62,A74,4,A93,A101,1,A121,26,A143,A152,2,A173,1,A192,A201,2
74,A14,15,A32,A44,A65,A72,4,A92,A101,1,A121,24,A143,A152,1,A173,1,A191,A201,2
75,A11,12,A32,A42,A61,A73,2,A93,A102,2,A122,29,A143,A152,1,A172,2,A191,A201,1
76,A12,11,A34,A40,A64,A73,4,A92,A101,4,A123,40,A143,A152,2,A173,1,A191,A201,2
77,A11,18,A31,A43,A61,A72,3,A93,A102,4,A124,36,A141,A153,1,A174,1,A192,A201,1
78,A14,36,A32,A43,A61,A75,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,1
79,A11,9,A32,A40,A61,A72,3,A93,A101,2,A124,27,A143,A153,1,A174,1,A192,A201,2
80,A14,30,A34,A43,A65,A74,2,A93,A101,3,A122,36,A143,A152,2,A173,1,A191,A201,1
81,A14,24,A32,A41,A61,A74,3,A93,A101,3,A123,38,A143,A152,1,A174,1,A192,A201,2
82,A14,24,A32,A41,A65,A73,2,A91,A101,4,A124,48,A143,A153,1,A173,1,A192,A201,2
83,A12,30,A34,A40,A65,A75,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,2
84,A14,18,A34,A43,A61,A71,4,A92,A101,4,A123,65,A143,A152,2,A171,1,A191,A201,2
85,A12,24,A32,A42,A61,A74,3,A91,A101,3,A123,43,A143,A152,1,A173,1,A192,A201,2
86,A11,12,A32,A46,A61,A72,4,A92,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,2
87,A12,24,A34,A49,A65,A74,4,A93,A101,3,A124,34,A143,A152,2,A173,2,A192,A201,2
88,A12,48,A32,A49,A61,A73,2,A93,A101,2,A123,23,A143,A152,1,A173,1,A192,A201,2
89,A14,36,A34,A40,A61,A75,4,A93,A101,4,A123,34,A143,A152,2,A174,1,A192,A201,1
90,A14,28,A31,A41,A65,A72,3,A93,A103,4,A121,40,A141,A151,2,A173,2,A192,A201,2
91,A11,27,A34,A49,A61,A75,4,A93,A101,4,A123,43,A142,A152,4,A174,2,A192,A201,2
92,A14,15,A34,A43,A61,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A192,A201,3
93,A11,12,A34,A40,A61,A73,4,A93,A101,4,A122,38,A141,A152,2,A172,1,A191,A202,2
94,A12,36,A34,A41,A61,A73,3,A93,A101,4,A123,34,A143,A152,2,A173,1,A192,A201,2
95,A14,18,A34,A43,A65,A73,4,A93,A101,3,A122,29,A143,A152,2,A173,1,A192,A201,2
96,A14,36,A33,A41,A65,A74,3,A93,A101,2,A123,31,A142,A152,1,A174,2,A192,A201,1
97,A11,21,A32,A43,A61,A72,4,A92,A101,4,A122,28,A143,A151,1,A174,1,A192,A201,2
98,A14,12,A34,A42,A64,A74,3,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A202,3
99,A14,15,A32,A42,A65,A74,1,A92,A101,4,A121,33,A141,A151,1,A172,1,A191,A201,1
100,A11,18,A32,A42,A61,A73,2,A93,A102,3,A123,42,A143,A152,1,A173,1,A191,A201,1
101,A11,16,A34,A40,A61,A75,2,A93,A103,4,A122,43,A141,A151,1,A173,1,A192,A201,2
102,A14,20,A34,A40,A65,A72,2,A91,A101,4,A121,44,A143,A152,2,A173,1,A192,A201,2
103,A14,36,A34,A41,A65,A75,2,A93,A101,4,A124,42,A143,A153,2,A173,1,A191,A201,1
104,A14,15,A32,A43,A65,A73,4,A94,A101,2,A121,40,A143,A151,1,A173,1,A192,A201,2
105,A14,24,A32,A43,A61,A75,4,A93,A101,1,A121,36,A143,A152,1,A174,1,A192,A201,3
106,A11,12,A32,A43,A61,A73,2,A93,A101,2,A121,20,A143,A151,1,A174,2,A192,A201,2
107,A11,21,A32,A40,A65,A74,2,A93,A102,2,A121,24,A143,A152,1,A172,1,A191,A202,2
108,A12,36,A32,A46,A65,A73,2,A94,A101,2,A123,27,A143,A152,1,A173,1,A191,A201,1
109,A14,15,A33,A41,A61,A72,1,A92,A101,2,A122,46,A143,A152,2,A172,1,A191,A201,2
110,A12,9,A32,A40,A65,A73,1,A92,A101,2,A121,33,A143,A152,1,A172,1,A191,A201,3
111,A14,36,A33,A43,A61,A73,4,A92,A101,4,A121,34,A143,A152,2,A173,1,A191,A201,2
112,A12,24,A34,A42,A61,A72,2,A92,A101,4,A123,25,A141,A152,1,A172,1,A191,A201,2
113,A12,30,A32,A43,A65,A75,2,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1
114,A14,11,A32,A49,A64,A75,1,A91,A101,2,A121,28,A143,A152,1,A173,1,A192,A201,2
115,A11,24,A31,A49,A61,A73,4,A93,A101,2,A122,31,A143,A151,1,A173,1,A192,A201,1
116,A12,48,A30,A410,A61,A73,1,A92,A101,2,A122,32,A141,A152,1,A174,1,A192,A202,1
117,A14,10,A32,A41,A62,A73,1,A93,A102,2,A121,32,A143,A152,1,A173,2,A191,A201,1
118,A11,6,A32,A40,A61,A75,1,A93,A101,4,A124,68,A141,A152,1,A174,1,A192,A201,3
119,A11,24,A32,A42,A62,A71,1,A91,A101,1,A122,33,A143,A152,1,A173,1,A191,A201,1
120,A11,24,A32,A42,A61,A75,4,A93,A101,2,A122,39,A143,A151,1,A174,1,A192,A201,2
121,A14,18,A34,A42,A61,A73,4,A92,A101,2,A124,28,A143,A152,2,A173,1,A191,A201,2
122,A14,48,A33,A43,A63,A74,4,A93,A101,1,A123,37,A143,A152,1,A174,1,A192,A201,1
123,A11,9,A32,A43,A61,A72,3,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,1
124,A12,12,A32,A40,A61,A74,3,A93,A101,4,A122,30,A143,A151,1,A173,2,A192,A201,1
125,A11,24,A31,A42,A61,A72,2,A91,A101,1,A122,55,A141,A152,1,A173,1,A192,A201,2
126,A11,12,A31,A40,A61,A72,4,A93,A101,2,A123,46,A141,A152,2,A173,1,A192,A201,3
127,A11,18,A34,A42,A61,A72,4,A92,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,1
128,A11,48,A32,A41,A61,A74,4,A93,A101,4,A124,39,A142,A153,3,A173,2,A192,A201,2
129,A14,30,A32,A43,A65,A75,4,A93,A101,4,A123,58,A143,A152,1,A173,1,A192,A201,3
130,A11,12,A33,A40,A61,A73,4,A93,A101,2,A121,43,A143,A152,2,A172,2,A191,A201,2
131,A11,24,A32,A42,A61,A72,4,A93,A102,1,A122,24,A143,A152,1,A172,1,A191,A202,1
132,A12,9,A32,A43,A61,A72,4,A92,A101,2,A123,22,A143,A152,1,A173,1,A192,A201,2
133,A14,9,A34,A40,A61,A73,3,A93,A101,1,A121,30,A143,A152,2,A173,1,A191,A201,3
134,A14,12,A34,A43,A63,A75,4,A93,A101,4,A122,42,A143,A152,2,A173,2,A192,A201,2
135,A11,12,A32,A43,A61,A73,4,A92,A101,1,A123,23,A141,A152,1,A173,1,A191,A201,2
136,A12,30,A33,A43,A62,A72,4,A93,A101,3,A124,30,A142,A152,2,A174,1,A191,A201,1
137,A13,9,A32,A43,A61,A73,3,A92,A101,2,A121,28,A143,A152,1,A172,1,A191,A201,3
138,A12,6,A32,A43,A61,A72,4,A94,A101,3,A123,30,A143,A151,1,A174,1,A192,A201,2
139,A12,60,A32,A46,A61,A73,4,A93,A101,4,A124,42,A143,A153,1,A173,1,A191,A201,1
140,A14,24,A34,A41,A65,A73,2,A93,A101,4,A122,46,A143,A152,2,A174,2,A192,A201,1
141,A14,12,A32,A40,A65,A72,2,A93,A101,3,A122,45,A143,A152,1,A174,2,A192,A201,1
142,A14,10,A32,A40,A61,A73,3,A93,A101,2,A121,31,A143,A152,1,A172,2,A191,A202,3
143,A14,24,A32,A42,A65,A74,4,A93,A101,2,A123,31,A142,A152,1,A173,1,A192,A201,2
144,A14,4,A34,A40,A61,A74,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,3
145,A11,15,A32,A42,A61,A72,4,A92,A103,1,A122,46,A143,A151,1,A173,1,A191,A201,2
146,A12,48,A30,A40,A63,A72,1,A92,A101,1,A123,30,A143,A152,2,A173,1,A191,A201,1
147,A11,24,A31,A42,A63,A72,4,A93,A101,4,A124,30,A143,A153,1,A173,2,A192,A201,2
148,A14,12,A32,A40,A65,A71,4,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,2
149,A14,18,A32,A42,A61,A72,4,A94,A102,1,A122,43,A143,A152,1,A172,2,A191,A201,1
150,A14,24,A32,A43,A62,A75,2,A93,A101,4,A123,31,A143,A152,2,A173,1,A191,A201,1
151,A12,18,A34,A49,A61,A71,3,A94,A101,3,A123,40,A143,A152,3,A171,2,A192,A201,3
152,A11,36,A33,A49,A61,A74,2,A93,A101,1,A123,24,A143,A152,2,A173,1,A192,A201,2
153,A12,24,A32,A41,A63,A72,3,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,2
154,A14,36,A32,A42,A61,A71,4,A92,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,1
155,A11,12,A32,A40,A61,A73,4,A92,A103,4,A122,29,A143,A152,1,A173,1,A192,A201,2
156,A11,24,A34,A43,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,2
157,A13,30,A34,A43,A65,A75,4,A93,A101,4,A122,49,A142,A152,2,A172,1,A191,A201,1
158,A12,9,A34,A43,A61,A75,2,A93,A101,4,A121,37,A143,A152,3,A172,1,A191,A201,3
159,A11,28,A32,A40,A61,A73,3,A93,A101,2,A123,45,A143,A152,1,A172,1,A191,A201,1
160,A12,24,A32,A42,A62,A75,4,A93,A101,4,A124,30,A143,A153,1,A173,1,A191,A201,2
161,A14,6,A34,A43,A61,A75,2,A94,A101,2,A121,30,A143,A151,2,A173,1,A191,A201,2
162,A12,21,A33,A40,A61,A73,1,A91,A101,4,A122,47,A143,A152,2,A173,1,A191,A201,1
163,A14,15,A32,A40,A65,A73,3,A93,A101,2,A124,29,A143,A152,1,A173,1,A191,A201,2
164,A14,24,A32,A43,A63,A75,3,A93,A101,2,A123,35,A141,A152,2,A173,1,A192,A201,2
165,A12,6,A32,A45,A61,A72,3,A94,A101,1,A122,22,A143,A152,1,A172,1,A191,A201,3
166,A12,30,A32,A43,A65,A73,4,A92,A101,1,A123,26,A143,A152,1,A173,1,A191,A201,2
167,A12,27,A34,A43,A63,A73,4,A93,A101,2,A122,23,A143,A152,2,A172,1,A191,A201,1
168,A14,15,A32,A43,A61,A75,4,A92,A101,2,A123,54,A141,A151,1,A174,1,A192,A201,2
169,A14,42,A32,A43,A65,A74,2,A94,A101,4,A122,29,A143,A151,1,A173,1,A192,A201,1
170,A11,11,A34,A40,A61,A73,1,A93,A101,2,A121,40,A143,A152,2,A172,2,A191,A201,2
171,A12,15,A32,A45,A62,A73,4,A93,A103,2,A121,22,A143,A152,1,A173,1,A191,A201,2
172,A14,24,A32,A40,A61,A73,1,A93,A101,4,A122,43,A143,A152,1,A172,2,A191,A201,1
173,A11,24,A31,A40,A61,A71,1,A92,A102,4,A124,29,A143,A151,2,A171,1,A191,A201,1
174,A11,60,A32,A49,A61,A75,4,A93,A102,4,A124,36,A143,A151,1,A173,1,A191,A201,2
175,A14,30,A34,A43,A61,A73,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A192,A201,2
176,A13,24,A32,A43,A63,A73,3,A92,A101,3,A123,57,A143,A152,1,A172,1,A191,A201,2
177,A12,6,A32,A43,A61,A73,2,A92,A103,3,A121,64,A143,A152,1,A173,1,A191,A201,3
178,A12,18,A33,A49,A65,A75,4,A93,A101,2,A122,42,A143,A152,2,A173,1,A191,A201,2
179,A14,24,A33,A40,A61,A75,4,A93,A101,4,A123,47,A143,A152,2,A172,2,A191,A201,1
180,A12,15,A31,A40,A62,A73,2,A94,A101,2,A122,25,A143,A151,1,A173,1,A191,A201,1
181,A12,30,A34,A42,A61,A74,2,A93,A101,2,A122,49,A143,A152,1,A173,1,A191,A201,1
182,A14,48,A32,A49,A61,A71,3,A93,A101,2,A123,33,A141,A151,1,A174,1,A192,A201,1
183,A13,21,A32,A40,A62,A73,1,A92,A101,1,A123,28,A141,A152,1,A174,1,A192,A201,1
184,A11,36,A32,A41,A61,A73,2,A93,A101,2,A122,26,A143,A152,1,A173,2,A191,A201,1
185,A14,24,A34,A42,A61,A74,2,A93,A101,2,A122,30,A143,A152,2,A172,1,A191,A201,1
186,A11,15,A34,A42,A61,A73,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,1
187,A13,42,A30,A49,A61,A72,2,A91,A101,1,A122,33,A143,A152,2,A173,1,A191,A201,1
188,A14,13,A32,A43,A62,A71,2,A92,A101,4,A121,64,A143,A152,1,A173,1,A191,A201,2
189,A11,24,A32,A41,A61,A71,4,A93,A101,2,A124,29,A143,A153,1,A174,1,A192,A201,2
190,A12,24,A34,A43,A61,A75,4,A93,A101,2,A122,48,A143,A152,2,A172,1,A191,A201,2
191,A14,12,A34,A46,A65,A72,2,A93,A101,1,A122,37,A143,A152,2,A172,2,A191,A201,1
192,A14,15,A31,A43,A62,A75,4,A93,A101,4,A123,34,A141,A152,1,A172,2,A191,A201,1
193,A11,18,A32,A43,A65,A74,2,A94,A101,4,A123,23,A143,A151,2,A172,1,A191,A201,1
194,A11,36,A32,A42,A61,A71,4,A93,A101,3,A122,30,A143,A152,1,A174,1,A192,A201,1
195,A14,12,A32,A40,A65,A75,4,A93,A101,3,A123,50,A143,A152,1,A173,1,A192,A201,3
196,A14,12,A32,A42,A61,A74,3,A92,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,2
197,A11,30,A32,A41,A61,A73,4,A91,A101,4,A122,40,A143,A152,1,A174,1,A192,A201,1
198,A14,12,A32,A43,A61,A75,4,A93,A101,4,A123,38,A143,A152,1,A173,1,A191,A201,2
199,A11,45,A32,A43,A61,A73,4,A93,A101,4,A124,23,A143,A153,1,A173,1,A192,A201,2
200,A12,45,A34,A41,A62,A71,3,A93,A101,4,A123,27,A143,A152,1,A173,1,A191,A201,1
